name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,id,,,
Ab Crunch Machine,pull,intermediate,isolation,machine,"[""abdominals""]",[],"[""Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position."", ""At the same time, begin to lift the legs up as you crunch your upper torso. Breathe out as you perform this movement. Tip: Be sure to use a slow and controlled motion. Concentrate on using your abs to move the weight while relaxing your legs and feet."", ""After a second pause, slowly return to the starting position as you breathe in."", ""Repeat the movement for the prescribed amount of repetitions.""]",Ab_Crunch_Machine,,,
Ab Roller,pull,intermediate,compound,other,"[""abdominals""]","[""shoulders""]","[""Hold the Ab Roller with both hands and kneel on the floor."", ""Now place the ab roller on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position."", ""Slowly roll the ab roller straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement."", ""After a pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.""]",Ab_Roller,,,
Alternate Hammer Curl,pull,beginner,isolation,dumbbell,"[""biceps""]","[""forearms""]","[""Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso."", ""The palms of the hands should be facing your torso. This will be your starting position."", ""While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move."", ""Slowly begin to bring the dumbbells back to starting position as your breathe in."", ""Repeat the movement with the left hand. This equals one repetition."", ""Continue alternating in this manner for the recommended amount of repetitions.""]",Alternate_Hammer_Curl,,,primaryMuscles
Alternate Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,"[""biceps""]","[""forearms""]","[""Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position."", ""While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move."", ""Slowly begin to bring the dumbbell back to starting position as your breathe in."", ""Repeat the movement with the left hand. This equals one repetition."", ""Continue alternating in this manner for the recommended amount of repetitions.""]",Alternate_Incline_Dumbbell_Curl,,,"[""abdominals""]"
Alternate Leg Diagonal Bound,push,beginner,compound,,"[""quadriceps""]","[""abductors"", ""adductors"", ""calves"", ""glutes"", ""hamstrings""]","[""Assume a comfortable stance with one foot slightly in front of the other."", ""Begin by pushing off with the front leg, driving the opposite knee forward and as high as possible before landing. Attempt to cover as much distance to each side with each bound."", ""It may help to use a line on the ground to guage distance from side to side."", ""Repeat the sequence with the other leg.""]",Alternate_Leg_Diagonal_Bound,,,"[""biceps""]"
Alternating Cable Shoulder Press,push,beginner,compound,cable,"[""shoulders""]","[""triceps""]","[""Move the cables to the bottom of the tower and select an appropriate weight."", ""Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position."", ""Keeping your head and chest up, extend through the elbow to press one side directly over head."", ""After pausing at the top, return to the starting position and repeat on the opposite side.""]",Alternating_Cable_Shoulder_Press,,,"[""quadriceps""]"
Alternating Deltoid Raise,push,beginner,isolation,dumbbell,"[""shoulders""]",[],"[""In a standing position, hold a pair of dumbbells at your side."", ""Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating."", ""Return the weights to your side."", ""On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height."", ""Return the weights to the starting position and continue alternating to the front and side.""]",Alternating_Deltoid_Raise,,,"[""shoulders""]"
Anti-Gravity Press,push,beginner,compound,barbell,"[""shoulders""]","[""middle back"", ""traps"", ""triceps""]","[""Place a bar on the ground behind the head of an incline bench."", ""Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position."", ""To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement."", ""Return to the starting position and repeat to complete the set.""]",Anti-Gravity_Press,,,"[""chest""]"
Arnold Dumbbell Press,push,intermediate,compound,dumbbell,"[""shoulders""]","[""triceps""]","[""Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl."", ""Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward."", ""Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement."", ""After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement."", ""Repeat for the recommended amount of repetitions.""]",Arnold_Dumbbell_Press,,,"[""lower back""]"
Around The Worlds,push,intermediate,compound,dumbbell,"[""chest""]","[""shoulders""]","[""Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position."", ""Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement."", ""Reverse the movement to return the weight to the starting position as you exhale.""]",Around_The_Worlds,,,"[""glutes""]"
Atlas Stone Trainer,pull,intermediate,compound,other,"[""lower back""]","[""biceps"", ""forearms"", ""glutes"", ""hamstrings"", ""quadriceps""]","[""This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe."", ""Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips."", ""Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest."", ""Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions.""]",Atlas_Stone_Trainer,,,"[""calves""]"
Atlas Stones,pull,expert,compound,other,"[""lower back""]","[""abdominals"", ""adductors"", ""biceps"", ""calves"", ""forearms"", ""glutes"", ""hamstrings"", ""middle back"", ""quadriceps"", ""traps""]","[""Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold."", ""Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground."", ""As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs."", ""Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.""]",Atlas_Stones,,,"[""traps""]"
Axle Deadlift,pull,intermediate,compound,other,"[""lower back""]","[""forearms"", ""glutes"", ""hamstrings"", ""middle back"", ""quadriceps"", ""traps""]","[""Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip."", ""With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward."", ""After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar."", ""Lower the bar by bending at the hips and guiding it to the floor.""]",Axle_Deadlift,,,"[""triceps""]"
Backward Drag,pull,beginner,compound,other,"[""quadriceps""]","[""calves"", ""forearms"", ""glutes"", ""hamstrings"", ""lower back""]","[""Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto."", ""Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible.""]",Backward_Drag,,,"[""lats""]"
Barbell Ab Rollout,pull,intermediate,compound,barbell,"[""abdominals""]","[""lower back"", ""shoulders""]","[""For this exercise you will need to get into a pushup position, but instead of having your hands of the floor, you will be grabbing on to an Olympic barbell (loaded with 5-10 lbs on each side) instead. This will be your starting position."", ""While keeping a slight arch on your back, lift your hips and roll the barbell towards your feet as you exhale. Tip: As you perform the movement, your glutes should be coming up, you should be keeping the abs tight and should maintain your back posture at all times. Also your arms should be staying perpendicular to the floor throughout the movement. If you don't, you will work out your shoulders and back more than the abs."", ""After a second contraction at the top, start to roll the barbell back forward to the starting position slowly as you inhale."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Ab_Rollout,,,"[""middle back""]"
Barbell Ab Rollout - On Knees,pull,expert,compound,barbell,"[""abdominals""]","[""lower back"", ""shoulders""]","[""Hold an Olympic barbell loaded with 5-10lbs on each side and kneel on the floor."", ""Now place the barbell on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position."", ""Slowly roll the barbell straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement."", ""After a second pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.""]",Barbell_Ab_Rollout_-_On_Knees,,,"[""hamstrings""]"
Barbell Bench Press - Medium Grip,push,beginner,compound,barbell,"[""chest""]","[""shoulders"", ""triceps""]","[""Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position."", ""From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest."", ""After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it."", ""Repeat the movement for the prescribed amount of repetitions."", ""When you are done, place the bar back in the rack.""]",Barbell_Bench_Press_-_Medium_Grip,,,"[""forearms""]"
Barbell Curl,pull,beginner,isolation,barbell,"[""biceps""]","[""forearms""]","[""Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position."", ""While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move."", ""Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard."", ""Slowly begin to bring the bar back to starting position as your breathe in."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Curl,,,"[""adductors""]"
Barbell Curls Lying Against An Incline,pull,beginner,isolation,barbell,"[""biceps""]",[],"[""Lie against an incline bench, with your arms holding a barbell and hanging down in a horizontal line. This will be your starting position."", ""While keeping the upper arms stationary, curl the weight up as high as you can while squeezing the biceps. Breathe out as you perform this portion of the movement. Tip: Only the forearms should move. Do not swing the arms."", ""After a second contraction, slowly go back to the starting position as you inhale. Tip: Make sure that you go all of the way down."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Curls_Lying_Against_An_Incline,,,"[""neck""]"
Barbell Deadlift,pull,intermediate,compound,barbell,"[""lower back""]","[""calves"", ""forearms"", ""glutes"", ""hamstrings"", ""lats"", ""middle back"", ""quadriceps"", ""traps""]","[""Stand in front of a loaded barbell."", ""While keeping the back as straight as possible, bend your knees, bend forward and grasp the bar using a medium (shoulder width) overhand grip. This will be the starting position of the exercise. Tip: If it is difficult to hold on to the bar with this grip, alternate your grip or use wrist straps."", ""While holding the bar, start the lift by pushing with your legs while simultaneously getting your torso to the upright position as you breathe out. In the upright position, stick your chest out and contract the back by bringing the shoulder blades back. Think of how the soldiers in the military look when they are in standing in attention."", ""Go back to the starting position by bending at the knees while simultaneously leaning the torso forward at the waist while keeping the back straight. When the weights on the bar touch the floor you are back at the starting position and ready to perform another repetition."", ""Perform the amount of repetitions prescribed in the program.""]",Barbell_Deadlift,,,"[""abductors""]"
Barbell Full Squat,push,intermediate,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings"", ""lower back""]","[""This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it."", ""Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso."", ""Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position."", ""Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement."", ""Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Full_Squat,,,0
Barbell Glute Bridge,push,intermediate,compound,barbell,"[""glutes""]","[""calves"", ""hamstrings""]","[""Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor."", ""Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet."", ""Extend as far as possible, then reverse the motion to return to the starting position.""]",Barbell_Glute_Bridge,,,
Barbell Guillotine Bench Press,push,intermediate,compound,barbell,"[""chest""]","[""shoulders"", ""triceps""]","[""Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position."", ""As you breathe in, bring the bar down slowly until it is about 1 inch from your neck."", ""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. It should take at least twice as long to go down than to come up."", ""Repeat the movement for the prescribed amount of repetitions."", ""When you are done, place the bar back in the rack.""]",Barbell_Guillotine_Bench_Press,,,
Barbell Hack Squat,push,intermediate,compound,barbell,"[""quadriceps""]","[""calves"", ""forearms"", ""hamstrings""]","[""Stand up straight while holding a barbell behind you at arms length and your feet at shoulder width. Tip: A shoulder width grip is best with the palms of your hands facing back. You can use wrist wraps for this exercise for a better grip. This will be your starting position."", ""While keeping your head and eyes up and back straight, squat until your upper thighs are parallel to the floor. Breathe in as you slowly go down."", ""Pressing mainly with the heel of the foot and squeezing the thighs, go back up as you breathe out."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Hack_Squat,,,
Barbell Hip Thrust,push,intermediate,compound,barbell,"[""glutes""]","[""calves"", ""hamstrings""]","[""Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise."", ""Roll the bar so that it is directly above your hips, and lean back against the bench so that your shoulder blades are near the top of it."", ""Begin the movement by driving through your feet, extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible, then reverse the motion to return to the starting position.""]",Barbell_Hip_Thrust,,,
Barbell Incline Bench Press - Medium Grip,push,beginner,compound,barbell,"[""chest""]","[""shoulders"", ""triceps""]","[""Lie back on an incline bench. Using a medium-width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position."", ""As you breathe in, come down slowly until you feel the bar on you upper chest."", ""After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms in the contracted position, squeeze your chest, hold for a second and then start coming down slowly again. Tip: it should take at least twice as long to go down than to come up."", ""Repeat the movement for the prescribed amount of repetitions."", ""When you are done, place the bar back in the rack.""]",Barbell_Incline_Bench_Press_-_Medium_Grip,,,
Barbell Incline Shoulder Raise,push,beginner,compound,barbell,"[""shoulders""]","[""chest""]","[""Lie back on an Incline Bench. Using a medium width grip (a grip that is slightly wider than shoulder width), lift the bar from the rack and hold it straight over you with your arms straight. This will be your starting position."", ""While keeping the arms straight, lift the bar by protracting your shoulder blades, raising the shoulders from the bench as you breathe out."", ""Bring back the bar to the starting position as you breathe in."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Incline_Shoulder_Raise,,,
Barbell Lunge,push,intermediate,compound,barbell,"[""quadriceps""]","[""calves"", ""glutes"", ""hamstrings""]","[""This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it."", ""Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso."", ""Step away from the rack and step forward with your right leg and squat down through your hips, while keeping the torso upright and maintaining balance. Inhale as you go down. Note: Do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. li>"", ""Using mainly the heel of your foot, push up and go back to the starting position as you exhale."", ""Repeat the movement for the recommended amount of repetitions and then perform with the left leg.""]",Barbell_Lunge,,,
Barbell Rear Delt Row,pull,beginner,compound,barbell,"[""shoulders""]","[""biceps"", ""lats"", ""middle back""]","[""Stand up straight while holding a barbell using a wide (higher than shoulder width) and overhand (palms facing your body) grip."", ""Bend knees slightly and bend over as you keep the natural arch of your back. Let the arms hang in front of you as they hold the bar. Once your torso is parallel to the floor, flare the elbows out and away from your body. Tip: Your torso and your arms should resemble the letter \""T\"". Now you are ready to begin the exercise."", ""While keeping the upper arms perpendicular to the torso, pull the barbell up towards your upper chest as you squeeze the rear delts and you breathe out. Tip: When performed correctly, this exercise should resemble a bench press in reverse. Also, refrain from using your biceps to do the work. Focus on targeting the rear delts; the arms should only act as hooks."", ""Slowly go back to the initial position as you breathe in."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Rear_Delt_Row,,,
Barbell Rollout from Bench,pull,intermediate,compound,barbell,"[""abdominals""]","[""glutes"", ""hamstrings"", ""lats"", ""shoulders""]","[""Place a loaded barbell on the ground, near the end of a bench. Kneel with both legs on the bench, and take a medium to narrow grip on the barbell. This will be your starting position."", ""To begin, extend through the hips to slowly roll the bar forward. As you roll out, flex the shoulder to roll the bar above your head. Ensure that your arms remain extended throughout the movement."", ""When the bar has been moved as far forward as possible, return to the starting position.""]",Barbell_Rollout_from_Bench,,,"[""abdominals""]"
Barbell Seated Calf Raise,push,beginner,isolation,barbell,"[""calves""]",[],"[""Place a block about 12 inches in front of a flat bench."", ""Sit on the bench and place the ball of your feet on the block."", ""Have someone place a barbell over your upper thighs about 3 inches above your knees and hold it there. This will be your starting position."", ""Raise up on your toes as high as possible as you squeeze the calves and as you breathe out."", ""After a second contraction, slowly go back to the starting position. Tip: To get maximum benefit stretch your calves as far as you can."", ""Repeat for the recommended amount of repetitions.""]",Barbell_Seated_Calf_Raise,,,"[""biceps""]"
